Nazwa pliku;Powtorzenia algorytmu;Optymalny koszt;Limit iteracji 1;Rozmiar listy ruchów zakazanych 1;Rozmiar listy sąsiedztwa 1;Czas 1;Koszt 1;Strata 1;Limit iteracji 2;Rozmiar listy ruchów zakazanych 2;Rozmiar listy sąsiedztwa 2;Czas 2;Koszt 2;Strata 2;Limit iteracji 3;Rozmiar listy ruchów zakazanych 3;Rozmiar listy sąsiedztwa 3;Czas 3;Koszt 3;Strata 3;Limit iteracji 4;Rozmiar listy ruchów zakazanych 4;Rozmiar listy sąsiedztwa 4;Czas 4;Koszt 4;Strata 4;Limit iteracji 5;Rozmiar listy ruchów zakazanych 5;Rozmiar listy sąsiedztwa 5;Czas 5;Koszt 5;Strata 5;Limit iteracji 6;Rozmiar listy ruchów zakazanych 6;Rozmiar listy sąsiedztwa 6;Czas 6;Koszt 6;Strata 6;Limit iteracji 7;Rozmiar listy ruchów zakazanych 7;Rozmiar listy sąsiedztwa 7;Czas 7;Koszt 7;Strata 7;Limit iteracji 8;Rozmiar listy ruchów zakazanych 8;Rozmiar listy sąsiedztwa 8;Czas 8;Koszt 8;Strata 8;Limit iteracji 9;Rozmiar listy ruchów zakazanych 9;Rozmiar listy sąsiedztwa 9;Czas 9;Koszt 9;Strata 9;Limit iteracji 10;Rozmiar listy ruchów zakazanych 10;Rozmiar listy sąsiedztwa 10;Czas 10;Koszt 10;Strata 10;Średnia strata;;;
tsp_17.txt;10;39;1000;20;10;28.0252;39;0;2000;40;20;202.184;39;0;3000;60;30;654.632;39;0;4000;80;40;1298.7;39;0;5000;100;50;2454.85;39;0;6000;120;60;4221.87;39;0;7000;140;70;6556.87;39;0;8000;160;80;9717.75;39;0;9000;180;90;13812.8;39;0;10000;200;100;18730.6;39;0;0;0;;
tsp_26.txt;10;937;1000;20;10;32.2857;1088;16.1153;2000;40;20;214.196;946;0.960517;3000;60;30;696.235;937;0;4000;80;40;1534.69;937;0;5000;100;50;3057.02;937;0;6000;120;60;5108;937;0;7000;140;70;8218.22;937;0;8000;160;80;11896.6;937;0;9000;180;90;16948.2;937;0;10000;200;100;22572.6;937;0;1.70758;0;;
tsp_34.txt;10;1286;1000;20;10;37.0334;2018;56.9207;2000;40;20;246.224;1691;31.493;3000;60;30;780.71;1539;19.6734;4000;80;40;1803.33;1485;15.4743;5000;100;50;3445.83;1512;17.5739;6000;120;60;5947.57;1376;6.99844;7000;140;70;9235.82;1455;13.1415;8000;160;80;13808.1;1347;4.74339;9000;180;90;19554.6;1476;14.7745;10000;200;100;27659.6;1404;9.17574;18.9969;4.74339;;
tsp_39.txt;10;1530;1000;20;10;41.0372;2541;66.0784;2000;40;20;270.765;2063;34.8366;3000;60;30;842.292;1902;24.3137;4000;80;40;1980.8;1813;18.4967;5000;100;50;3856.64;1666;8.88889;6000;120;60;6637.89;1812;18.4314;7000;140;70;10556.9;1710;11.7647;8000;160;80;15530.4;1622;6.01307;9000;180;90;21517.8;1720;12.4183;10000;200;100;30577.1;1815;18.6275;21.9869;6.01307;;
tsp_45.txt;10;1613;1000;20;10;43.0391;3092;91.6925;2000;40;20;295.268;2741;69.9318;3000;60;30;961.907;2371;46.9932;4000;80;40;2137.83;2054;27.3404;5000;100;50;4128.81;2240;38.8717;6000;120;60;7298.58;2067;28.1463;7000;140;70;11194.9;2077;28.7663;8000;160;80;16378.5;2022;25.3565;9000;180;90;24019;2175;34.8419;10000;200;100;32423.6;2086;29.3242;42.1265;25.3565;;
tsp_53.txt;10;6905;1000;20;10;50.0458;13977;102.419;2000;40;20;331.991;12087;75.0471;3000;60;30;1049.88;11346;64.3157;4000;80;40;2449.73;10862;57.3063;5000;100;50;4767.62;9284;34.4533;6000;120;60;7984.19;9703;40.5214;7000;140;70;12505.7;9287;34.4967;8000;160;80;18480.6;9868;42.9109;9000;180;90;26035.6;11434;65.5902;10000;200;100;36837.2;10143;46.8936;56.3954;34.4533;;
tsp_65.txt;10;1839;1000;20;10;57.0523;4795;160.74;2000;40;20;390.355;4077;121.697;3000;60;30;1216.04;3384;84.013;4000;80;40;2775.06;3344;81.838;5000;100;50;5263.28;3135;70.4731;6000;120;60;9048.81;2864;55.7368;7000;140;70;14084.2;2921;58.8363;8000;160;80;21509.2;3081;67.5367;9000;180;90;30450.4;2923;58.9451;10000;200;100;41688.2;2841;54.4861;81.4301;54.4861;<-;"14000;280;140;109480;2570;39.7499"
tsp_70.txt;10;38673;1000;20;10;58.0526;56096;45.0521;2000;40;20;395.905;52642;36.1208;3000;60;30;1259.65;50625;30.9053;4000;80;40;2947.92;48955;26.587;5000;100;50;5666.79;49019;26.7525;6000;120;60;9549.36;48265;24.8028;7000;140;70;15216.2;49022;26.7603;8000;160;80;22349.5;47336;22.4006;9000;180;90;31448.2;46265;19.6313;10000;200;100;42608.1;46684;20.7147;27.9727;19.6313;;
tsp_71.txt;10;1950;1000;20;10;59.054;5370;175.385;2000;40;20;393.358;4654;138.667;3000;60;30;1307.81;4270;118.974;4000;80;40;2895.8;3726;91.0769;5000;100;50;5584.89;3136;60.8205;6000;120;60;9543.23;3596;84.4103;7000;140;70;15397.1;3405;74.6154;8000;160;80;22228.3;3268;67.5897;9000;180;90;31946.9;3114;59.6923;10000;200;100;42863.7;3146;61.3333;93.2564;59.6923;<-;"17000;340;170;237951;3098;58.8718"
gr_96.tsp;10;55209;1000;20;10;73.0663;117445;112.728;2000;40;20;486.075;86544;56.757;3000;60;30;1578.43;71175;28.9192;4000;80;40;3578.95;67838;22.8749;5000;100;50;6845.87;65972;19.495;6000;120;60;11830.3;62055;12.4002;7000;140;70;18383.8;62101;12.4835;8000;160;80;27188.7;59804;8.32292;9000;180;90;38541;58997;6.8612;10000;200;100;52435.2;57821;4.73111;28.5573;4.73111;;
kroA_100.tsp;10;21282;1000;20;10;75.068;50087;135.349;2000;40;20;501.456;37849;77.8451;3000;60;30;1587.44;31935;50.0564;4000;80;40;3680.45;28603;34.4;5000;100;50;7036.1;25768;21.0788;6000;120;60;12003.6;25399;19.345;7000;140;70;19043.3;24596;15.5718;8000;160;80;27975.3;23876;12.1887;9000;180;90;39453.2;23392;9.91448;10000;200;100;53821.1;23233;9.16737;38.4917;9.16737;;
krop_124.atsp;10;36230;1000;20;10;74.0664;79581;119.655;2000;40;20;499.643;66250;82.8595;3000;60;30;1632.48;57260;58.0458;4000;80;40;3667.91;54678;50.9191;5000;100;50;7085.2;51825;43.0444;6000;120;60;12172.2;50897;40.483;7000;140;70;18866;49543;36.7458;8000;160;80;28164.1;46391;28.0458;9000;180;90;39730.5;45837;26.5167;10000;200;100;55756.4;46733;28.9898;51.5305;26.5167;;
kroB_150.tsp;10;26130;1000;20;10;104.094;75178;187.708;2000;40;20;707.643;54730;109.453;3000;60;30;2282.32;44103;68.783;4000;80;40;5222.51;40657;55.5951;5000;100;50;10067.9;37367;43.0042;6000;120;60;17057.4;35598;36.2342;7000;140;70;26907.6;33463;28.0635;8000;160;80;39588.8;32404;24.0107;9000;180;90;56254.1;31375;20.0727;10000;200;100;77378.9;30426;16.4409;58.9365;16.4409;;
pr_152.tsp;10;73682;1000;20;10;105.096;245528;233.227;2000;40;20;723.177;154898;110.225;3000;60;30;2314.18;122154;65.7854;4000;80;40;5265.45;108111;46.7265;5000;100;50;10103.2;101229;37.3863;6000;120;60;17295.8;93597;27.0283;7000;140;70;27078.1;89183;21.0377;8000;160;80;40037.4;86823;17.8347;9000;180;90;57197.4;85478;16.0093;10000;200;100;77998.1;83183;12.8946;58.8154;12.8946;;
ftv_170.atsp;10;2755;1000;20;10;116.105;16604;502.686;2000;40;20;796.437;14415;423.23;3000;60;30;2547.87;13166;377.895;4000;80;40;5832.4;12361;348.675;5000;100;50;11162.3;11617;321.67;6000;120;60;19049.8;10427;278.475;7000;140;70;29964.8;9837;257.06;8000;160;80;44381.4;9235;235.209;9000;180;90;63492.8;9114;230.817;10000;200;100;86616.9;8932;224.211;319.993;224.211;<-;"17000;340;170;414987;7545;173.866"
kroB_200.tsp;10;29437;1000;20;10;131.119;105147;257.193;2000;40;20;892.812;75269;155.695;3000;60;30;2902.22;58360;98.2539;4000;80;40;6582.07;52921;79.7771;5000;100;50;12643.7;47530;61.4635;6000;120;60;21610.5;44274;50.4026;7000;140;70;34150;42694;45.0352;8000;160;80;50338.8;40645;38.0745;9000;180;90;71102.5;39802;35.2108;10000;200;100;97622.3;38335;30.2273;85.1333;30.2273;;
rbg_323.atsp;10;1326;1000;20;10;201.183;5295;299.321;2000;40;20;1400.55;5131;286.953;3000;60;30;4471.42;4737;257.24;4000;80;40;10181.3;4628;249.02;5000;100;50;19449.8;4520;240.875;6000;120;60;33414;4411;232.655;7000;140;70;52034.5;4289;223.454;8000;160;80;77173.4;4274;222.323;9000;180;90;109450;4184;215.535;10000;200;100;150642;4215;217.873;244.525;215.535;;
